GEOID,wasserstein_topq_reference_pool
06073000100,19570.782979663127
06073000201,13564.615939894053
06073000202,25196.312071945995
06073000301,18334.872710118038
06073000302,46082.40876642661
06073000400,21017.004447619867
06073000500,13634.929815479221
06073000600,16504.709816620893
06073000700,18361.918776638835
06073000800,16732.323186814247
06073000901,15742.691932034122
06073000902,16543.45405227827
06073001000,14410.884065718757
06073001100,22518.242438105648
06073001201,19458.753939921975
06073001202,17439.862313321537
06073001301,18857.65103099477
06073001302,16176.36195214275
06073001400,14431.652278856576
06073001500,16243.872419853857
06073001600,17158.86242849432
06073001700,18990.25762985326
06073001801,24507.927543211194
06073001802,23702.919791182514
06073001900,27880.86394577073
06073002001,27197.273181308996
06073002002,28403.091479618186
06073002100,24251.13184349728
06073002201,19149.73292172609
06073002202,21289.210989263123
06073002301,25969.704669145052
06073002302,23188.356092044454
06073002401,21271.14195514498
06073002402,23439.53990653132
06073002501,22605.72852986688
06073002502,29928.87612507657
06073002601,23897.271247875327
06073002602,26459.423854167235
06073002702,17732.998649487767
06073002703,27362.803799794223
06073002705,28066.588195638567
06073002707,21237.16157246646
06073002708,14525.146670635682
06073002709,23761.342840182933
06073002710,25438.316478872923
06073002711,30024.150630878616
06073002712,29547.85469171681
06073002801,26368.172136486002
06073002803,23193.241175189636
06073002804,22810.332536190268
06073002902,19322.434131783433
06073002903,21957.348342157922
06073002904,20375.647841238664
06073002905,23743.91520027739
06073003001,30185.228356800104
06073003003,34481.082568241574
06073003004,32556.818169825554
06073003101,28329.794964975637
06073003103,34499.78878849782
06073003105,34859.36323155148
06073003107,34341.97878478604
06073003108,35088.46659205072
06073003109,32754.46644580065
06073003111,29647.86764471616
06073003112,32481.291165200597
06073003113,30901.255793835302
06073003114,37002.66314285063
06073003115,34162.83163973246
06073003201,32556.433649431532
06073003202,30876.113134904528
06073003204,33586.70712590656
06073003207,36561.64196459476
06073003208,35874.60696669144
06073003209,36116.048088572126
06073003211,34914.775992282215
06073003212,32659.697787340567
06073003213,35382.1206455353
06073003214,35577.667727252294
06073003301,24612.12375371238
06073003303,23564.770649693663
06073003304,25702.9293342922
06073003305,23186.61391134753
06073003401,24780.052676676238
06073003403,24233.298510511107
06073003404,27183.69747445742
06073003501,23838.279007260466
06073003502,22836.56456461911
06073003601,24085.52581675265
06073003602,21317.3585981177
06073003603,14498.919558094085
06073003800,34138.24625976816
06073003901,13815.547501168978
06073003902,13934.150341747463
06073004000,13609.778472298756
06073004101,13508.77082540075
06073004102,38638.951115045296
06073004200,30137.28378948735
06073004300,22347.412076433342
06073004400,13761.304719615475
06073004501,40957.136473014616
06073004600,43492.50905652852
06073004700,36445.19482750239
06073004800,32646.333127017162
06073004900,15572.515366323612
06073005000,24060.12207571677
06073005101,38036.116986998124
06073005102,43150.909338746686
06073005103,28545.141908445312
06073005201,44516.500315561
06073005202,45355.638801679124
06073005301,49987.61449457887
06073005302,46144.77982584371
06073005401,40478.83988013037
06073005402,37687.57948525779
06073005403,40688.95422967404
06073005500,37900.542879496694
06073005601,41248.36982394931
06073005602,45044.13523027271
06073005700,58055.08122331814
06073005801,61515.249814181734
06073005802,43404.69896386148
06073005900,56851.73808398994
06073006000,55490.97391284478
06073006100,59797.04318751603
06073006200,22970.022375738266
06073006300,13452.50269115171
06073006500,13765.990468091872
06073006600,13920.435532674912
06073006801,13656.503230864935
06073006802,13916.553916456578
06073006900,13683.770650552422
06073007002,21625.031008905324
06073007100,27982.72450040511
06073007200,30299.31623630403
06073007302,23996.132958790924
06073007303,29004.042666928483
06073007304,31069.569603662898
06073007401,24298.93447966113
06073007402,23649.401173264723
06073007501,25117.10256666021
06073007502,30509.858045008204
06073007601,34199.60580158674
06073007602,35974.09890457702
06073007701,26174.869004472024
06073007702,26194.77778567585
06073007800,26017.196729965708
06073007905,26627.127614842084
06073007907,24930.887381512937
06073007908,25865.733196037752
06073007910,27908.093129591387
06073007911,27288.590522127386
06073007912,27471.10118453958
06073008002,27543.148038811192
06073008003,26347.565838053248
06073008006,28170.41866656993
06073008101,28016.52932518315
06073008102,27126.42871397825
06073008201,28949.816479106088
06073008202,30069.677565374575
06073008301,33232.68349136055
06073008303,31173.30370827852
06073008305,26034.443273035973
06073008306,35693.52249987536
06073008307,14079.66004461241
06073008310,33229.61465723401
06073008311,31155.51638273271
06073008312,14654.488623249408
06073008313,13679.674224560104
06073008324,24096.061553013133
06073008327,22896.699931390438
06073008328,38164.35016419045
06073008330,21912.53071257264
06073008331,23113.83362626287
06073008336,33037.983546896154
06073008337,33468.707864461394
06073008339,16398.791502092543
06073008343,24933.45397020994
06073008344,16505.48918282226
06073008345,34127.33296264867
06073008346,14139.063873929766
06073008347,35787.005360289135
06073008348,34082.506449371715
06073008349,31551.694876992504
06073008350,19635.943802597
06073008351,26796.803769070804
06073008352,31455.081837800975
06073008353,33704.634654048765
06073008355,26580.183675325385
06073008356,31297.97647469369
06073008357,26284.44488163564
06073008358,26512.751154977774
06073008359,17557.151346313985
06073008360,18984.602638947086
06073008361,21930.01124532482
06073008362,15493.60380803886
06073008363,22819.092295563474
06073008364,15663.233749919622
06073008365,33484.83092826654
06073008366,33973.52888894962
06073008367,33826.29843222902
06073008368,34071.955930420896
06073008369,16449.44896334394
06073008370,17536.946740606527
06073008371,18880.44682334813
06073008372,38251.238533577
06073008373,17783.025808267095
06073008374,35309.01535610578
06073008375,17563.226023082036
06073008376,21651.784559571213
06073008377,22539.839762768133
06073008378,22476.189360519224
06073008379,22697.547807039155
06073008380,32959.35081855256
06073008381,32823.10714477829
06073008501,32644.704700712467
06073008502,29169.848744925748
06073008503,28872.134983024032
06073008504,30261.488043082867
06073008505,33344.48512341366
06073008506,31443.258108281643
06073008507,31171.17789115953
06073008509,30331.740034670893
06073008510,13912.114067368093
06073008511,66252.48393956794
06073008512,30827.583646007213
06073008513,30655.134884211682
06073008600,13534.53285516078
06073008701,14465.663288728354
06073008702,13804.912494324728
06073008800,14443.571205771557
06073008901,13914.001316267833
06073008902,13520.341428618905
06073009000,13531.470389737944
06073009101,30610.433083499778
06073009102,32067.511970050637
06073009103,29699.26076891346
06073009104,30665.168968714785
06073009107,13750.17136228244
06073009108,14079.933851833031
06073009109,14084.681807838808
06073009201,13808.470581009327
06073009203,14154.642299059587
06073009204,30390.692166947545
06073009301,32980.87946017612
06073009305,29728.34639899024
06073009306,33790.45913474638
06073009307,14414.531023965355
06073009308,27139.535988786993
06073009400,38401.41059318952
06073009502,67139.92617343274
06073009505,38437.12963906207
06073009506,36976.94079435574
06073009507,38358.131057354054
06073009509,26417.79140957788
06073009510,37258.267531720376
06073009511,33527.27476950009
06073009602,26719.647399355385
06073009603,16047.60153475589
06073009604,26687.836587098125
06073009703,30112.87599708461
06073009704,35830.690502515165
06073009705,35590.385236805545
06073009706,36451.77606136938
06073009801,30112.026958198727
06073009802,22287.361669138914
06073009804,34982.022584336584
06073009805,38690.782596704645
06073009901,38736.914312615714
06073009902,34551.21544102237
06073010001,24344.233930595346
06073010003,35264.75771467267
06073010004,34753.251536112366
06073010005,33447.85331704488
06073010009,34933.65430492476
06073010010,30625.256161510948
06073010011,31025.05007497867
06073010012,31212.084880133265
06073010013,31874.703330279113
06073010015,26456.82398015723
06073010016,36030.05869251616
06073010017,36779.87175189379
06073010018,36787.983421973375
06073010019,38544.32672519221
06073010103,35289.12601325058
06073010104,37358.26848721824
06073010106,30943.494374375867
06073010107,29573.97047123768
06073010109,38200.76027525804
06073010110,34938.16115784818
06073010111,29975.142078510147
06073010112,35036.70316655988
06073010201,38470.21895418306
06073010202,35282.081997907764
06073010300,34493.64644112504
06073010401,34006.145393612154
06073010402,34164.67550973176
06073010501,35286.9457088761
06073010502,34770.042419227
06073010601,38790.11493818099
06073010800,33246.85098191974
06073010900,33607.22125010826
06073011000,33246.100710465114
06073011100,33225.92209869269
06073011300,33893.03674853655
06073011601,14850.006243078062
06073011602,15184.595458551548
06073011700,15133.193468035237
06073011801,14520.559866411584
06073011802,22406.93686251339
06073011902,25471.130396968652
06073012002,25810.30264384861
06073012003,26997.79493670841
06073012101,23885.37153272193
06073012102,25027.405782174876
06073012200,31229.73042257704
06073012302,18739.455193315724
06073012303,25129.035054264717
06073012304,21031.7833381526
06073012401,21377.331757615208
06073012402,19433.170117971516
06073012501,14504.616359617394
06073012502,30033.114542008454
06073012600,26113.400084669014
06073012700,13834.110549878123
06073012800,18941.943931947193
06073012900,18559.147291438727
06073013000,14585.43387376324
06073013102,18819.99243014932
06073013103,16818.809864724917
06073013104,15110.965463976621
06073013203,19899.656437972928
06073013204,24514.19227196201
06073013205,26188.47884448852
06073013206,21705.241663656518
06073013301,27196.392803825238
06073013302,28037.07685079861
06073013303,28099.557097736277
06073013306,34661.04875595878
06073013307,38157.89124171718
06073013308,33126.70081863533
06073013309,28731.69220905106
06073013312,32599.041674876757
06073013315,30930.693100664892
06073013316,28641.884041129608
06073013317,34618.86320682174
06073013318,31095.11015880314
06073013319,33391.74955477986
06073013320,38960.67702755228
06073013321,34326.25301497415
06073013322,31428.939326061674
06073013323,33398.32113590301
06073013324,33590.953817182904
06073013325,32749.63425267686
06073013326,30041.023676149085
06073013327,31831.71635149406
06073013401,26118.23135035057
06073013409,27444.805490847688
06073013411,35882.555707074185
06073013412,32117.698075961936
06073013414,28421.773558534576
06073013415,31953.685148159155
06073013416,34354.238812277224
06073013417,32568.632025573414
06073013418,29414.457495098282
06073013420,32199.403914343307
06073013421,31180.036560152967
06073013422,38142.67585385008
06073013423,38922.97271742205
06073013424,30780.119072839338
06073013425,33565.044261869996
06073013503,35370.25555948582
06073013504,36668.243565246856
06073013505,34860.891827373256
06073013506,37437.27625179243
06073013601,35732.977671133376
06073013604,36912.418863786836
06073013605,36542.09654534687
06073013607,35069.02393047565
06073013608,35360.76852179386
06073013701,32677.14906830354
06073013702,28639.037508452722
06073013801,28754.064255257606
06073013802,30312.156259006417
06073013903,36105.08185629078
06073013905,34467.65759295841
06073013906,33975.660952531354
06073013907,34875.80201514886
06073013908,34595.65591788575
06073013909,36227.772247776
06073014001,29975.898740381268
06073014002,28569.705171733407
06073014101,31166.930144973605
06073014102,34814.362528676706
06073014200,30662.59794866543
06073014300,30507.277307211316
06073014400,24728.311586232823
06073014500,21219.865719544843
06073014601,19297.38798657304
06073014602,25124.93786481323
06073014701,15549.590575345095
06073014702,19422.139950277226
06073014803,16131.523237869676
06073014804,15273.318817119514
06073014805,26222.2233688046
06073014806,20062.450776218473
06073014901,17280.417253909527
06073014902,15884.593093601678
06073015001,21545.820745644145
06073015002,19380.251576442755
06073015100,25432.218677730623
06073015200,27767.581067040217
06073015301,23459.40889591351
06073015302,32423.960938453052
06073015403,36027.9408275395
06073015405,38821.60574841387
06073015406,38891.61806022467
06073015407,24012.96946355803
06073015408,36018.08050709363
06073015501,37684.703876384876
06073015502,36326.46253743607
06073015601,24385.5993258621
06073015602,36862.51921562302
06073015701,21272.184735825736
06073015704,22659.86270833452
06073015705,22630.465725235204
06073015706,22650.34591120131
06073015801,13636.215851358844
06073015802,13712.88408130372
06073015901,13535.287141447268
06073015902,13570.075732303932
06073016000,20740.30303647953
06073016100,15773.365008921617
06073016201,19963.49789804769
06073016202,13515.07315720839
06073016301,13506.087100527375
06073016302,13662.832221219396
06073016401,29615.493782493595
06073016403,36476.080784321755
06073016404,27047.53133391197
06073016502,14580.760661629873
06073016503,16781.002431398338
06073016504,13516.755083807866
06073016606,33145.30195356754
06073016607,28395.42294474501
06073016608,33625.775029109296
06073016609,37969.294484521895
06073016610,27984.029190724188
06073016613,32430.62936846275
06073016614,25220.362296580304
06073016615,28246.290325533573
06073016616,29455.130628636874
06073016617,25179.800230543497
06073016618,38663.886137928916
06073016619,34699.97344864212
06073016620,32617.85620677363
06073016621,35432.41235599752
06073016703,33803.03334673281
06073016704,38682.00725784513
06073016705,33517.239993550815
06073016706,35977.68210130695
06073016804,35257.602985576676
06073016806,33825.837538487984
06073016807,38243.82312448537
06073016809,37944.6845272913
06073016810,37016.302041047515
06073016811,38377.57600271923
06073016812,38144.62061393134
06073016813,38838.91027975652
06073016901,36516.77211635074
06073016902,37224.300039472975
06073017006,34988.15827103795
06073017009,36709.78555384774
06073017010,38877.38100560303
06073017014,32628.798467111443
06073017018,27077.7130719307
06073017020,38744.05654061917
06073017021,38848.204823801156
06073017022,23332.23844766853
06073017031,34598.82161429305
06073017033,38517.27413267364
06073017034,25459.346439806515
06073017035,25623.63229312807
06073017036,33277.26407598874
06073017037,37199.34437091642
06073017039,22498.945589803654
06073017040,30247.851685528727
06073017041,34784.60172824225
06073017043,35679.42337172082
06073017044,34705.294180778736
06073017045,34538.35693320277
06073017046,35472.250240307985
06073017047,28799.99162223982
06073017048,14338.235734299791
06073017049,15316.317570112942
06073017050,23473.80769690844
06073017051,20009.087653261748
06073017052,34496.76528823684
06073017053,38782.97220774056
06073017054,36071.142792795814
06073017055,20414.912144880775
06073017056,20842.458800958953
06073017057,34596.549010021714
06073017058,33812.235848931356
06073017059,35292.13552161708
06073017060,37804.05183131725
06073017061,36806.96013699363
06073017062,37912.37603759888
06073017063,37674.945596870886
06073017064,16397.596259192356
06073017065,35271.875618391
06073017066,38565.54094274252
06073017067,33648.085782581904
06073017068,34180.15585319594
06073017069,14696.695003562023
06073017070,16264.426100449764
06073017071,17302.463371632857
06073017104,32599.384748036555
06073017106,37083.45741347757
06073017107,31695.497814675047
06073017108,31261.488366901543
06073017109,36408.57798798757
06073017111,37982.50330758856
06073017112,38440.96606198875
06073017113,37137.48940547106
06073017201,33026.46056680471
06073017202,30326.246335401487
06073017303,26570.111739154254
06073017305,34514.63747358997
06073017306,34527.68740705247
06073017307,22013.724917835465
06073017308,29111.48818602954
06073017403,35488.601277435395
06073017405,27245.812225470934
06073017406,33775.668831713265
06073017407,24879.299339708024
06073017408,24242.115735270727
06073017501,13559.827742945234
06073017502,20349.458614211384
06073017601,34936.64414563286
06073017603,26889.88763945356
06073017605,22934.965194751352
06073017606,13769.625895469539
06073017701,31751.054449967723
06073017702,18440.648723089264
06073017801,13636.761728454496
06073017808,38178.94576537702
06073017809,16666.71791574173
06073017810,22150.534411888555
06073017811,25539.0339423293
06073017813,27153.29525701392
06073017901,15161.38515808532
06073017902,22097.953711254195
06073018000,19045.96710562417
06073018101,17187.047219741205
06073018102,13661.528990603925
06073018201,13873.511490021254
06073018202,14422.316125917025
06073018301,21603.851582604675
06073018302,17982.40585009613
06073018400,20852.230245123326
06073018504,19963.54009163883
06073018509,21207.34705919732
06073018510,24655.030483991348
06073018511,15575.528282463421
06073018512,35023.21359716751
06073018515,33801.926375797026
06073018516,31576.666567631375
06073018517,18339.964581887052
06073018518,26277.64088727519
06073018519,16714.798382036915
06073018520,35668.64906780937
06073018521,30829.815842285414
06073018522,26724.77420364825
06073018523,28333.89107649586
06073018524,35620.077064868194
06073018525,35995.99293351074
06073018601,32347.86703095274
06073018608,36270.69571878326
06073018609,33813.63122655046
06073018612,38199.05923178027
06073018613,33715.215388861376
06073018615,26961.310866762604
06073018616,25085.978105659487
06073018617,38432.21870050672
06073018618,31924.821684825303
06073018619,38307.233345638255
06073018620,36636.517094726245
06073018621,24729.25093708677
06073018622,28782.323561449477
06073018801,37497.1924200797
06073018803,37962.75856831627
06073018804,38186.91914360452
06073018805,38754.89958598973
06073018906,37484.33226334151
06073019103,38138.246570917065
06073019105,38490.20612749088
06073019107,39002.214988635635
06073019108,36805.330403605294
06073019109,38529.85430058478
06073019110,37038.40248702015
06073019111,36910.24795162656
06073019203,35897.400737424505
06073019205,34778.19641054413
06073019206,27289.494535356007
06073019208,36319.35742255263
06073019209,38697.71274772457
06073019210,32464.052173855915
06073019301,36632.6659106523
06073019303,35374.040300772125
06073019304,23666.21173473196
06073019305,26134.312658025377
06073019403,31978.634855393353
06073019404,28424.6049728974
06073019405,22523.365981832874
06073019406,24801.956686463145
06073019501,19997.81821224534
06073019502,19698.607039980103
06073019503,13996.606766369237
06073019601,32599.636872629108
06073019602,32631.014183519084
06073019701,32585.341015146532
06073019702,31151.73533073754
06073019803,30971.581004567368
06073019804,20579.733409870223
06073019805,26992.93697968998
06073019808,37685.345139642915
06073019809,21516.764599403396
06073019810,26380.09840370421
06073019811,15759.568729979552
06073019902,18403.916131070248
06073019903,26108.771441797227
06073019904,22494.70267784767
06073019905,23046.930748669703
06073020015,36618.307836360254
06073020017,20153.79783203883
06073020019,14122.15612593668
06073020021,14296.58873396065
06073020023,18521.138076141535
06073020024,27749.39978928312
06073020025,14561.35272745499
06073020026,19459.60033203567
06073020028,13483.865698899363
06073020029,15596.885024730613
06073020030,23723.514172711202
06073020031,33289.211955031686
06073020032,38217.95316131656
06073020033,38207.23817228086
06073020034,26718.670794819478
06073020035,33717.43394964899
06073020036,15678.475486856276
06073020037,13489.380074412178
06073020038,36385.866797245006
06073020039,22357.749850612872
06073020040,31277.859217515386
06073020041,28629.138728500493
06073020042,36033.03932237803
06073020043,38141.939106109334
06073020044,38163.998684330116
06073020105,30533.512081764286
06073020106,37173.017591054915
06073020107,27384.85901070879
06073020108,15430.974248514523
06073020109,24762.094338279567
06073020110,38063.73765395215
06073020111,38715.694857296265
06073020202,17109.55914780928
06073020206,18563.889544747995
06073020207,25079.69705097857
06073020208,24326.32526152203
06073020209,24532.614064695535
06073020210,26039.359151046116
06073020211,18532.670655661506
06073020213,17155.53059923163
06073020214,16414.47038098278
06073020304,37334.49168691647
06073020305,32909.57481534813
06073020308,26574.14004168286
06073020309,28383.721534408705
06073020310,33711.39120259106
06073020311,35467.16536756442
06073020312,39020.656593296124
06073020313,13504.166541896857
06073020401,37636.36050385684
06073020403,25988.80606288089
06073020404,29873.03463733967
06073020405,35373.35668930875
06073020500,15677.431448817144
06073020601,15761.784718755365
06073020602,17455.583728222107
06073020705,31706.892221451675
06073020706,36847.16676988485
06073020707,18624.92850077978
06073020708,35018.61877506594
06073020710,38586.432005907816
06073020711,38721.64936505127
06073020712,37321.253325084974
06073020801,38457.173023178235
06073020805,36924.68134345613
06073020806,36350.34698256703
06073020807,38686.37032648526
06073020810,38402.44911884252
06073020811,38402.03590926581
06073020812,36848.577957476504
06073020813,37994.0260263074
06073021204,38484.918342152654
06073021205,36995.8853885343
06073021206,38609.58906516651
06073021304,37521.22989395927
06073021305,37688.17199805029
06073021306,38703.512010886414
06073021401,13935.009092746834
06073021402,20758.588031078314
06073021501,36104.30582258011
06073021502,37222.560096535715
06073021600,37834.08962177829
06073021800,33277.84842178651
06073021900,23523.32850394453
06073022000,26860.402015459735
06073022101,13529.466172171104
06073022102,22727.388488193028
